VariableName,Attribute,Use in Analysis
P01RXRKOA,"SV:Right knee baseline radiographic OA (definite osteophytes, calc, used in OAI definition of symptomatic knee OA)",1.0
P01LXRKOA,"SV:Left knee baseline radiographic OA (definite osteophytes, calc, used in OAI definition of symptomatic knee OA)",1.0
V00URINHR1,"EV:Urine collection: time collected (first collection, 24-hr time) (calc)",0.0
V00URINHR2,"EV:Urine collection: time collected (repeat collection, 24-hr time) (calc)",0.0
V00BLDHRS1,"EV:Phlebotomy: time venipuncture completed (first draw, 24-hr time) (calc)",0.0
V00BLDHRS2,"EV:Phlebotomy: time venipuncture completed (repeat draw, 24-hr time) (calc)",0.0
V00SEAQHR1,"EV:Laboratory processing: time at start of serum aliquoting (first draw, 24-hour time) (calc)",0.0
V00SEAQHR2,"EV:Laboratory processing: time at start of serum aliquoting (repeat draw, 24-hour time) (calc)",0.0
V00PLAQHR1,"EV:Laboratory processing: time at start of plasma aliquoting (first draw, 24-hr time) (calc)",0.0
V00PLAQHR2,"EV:Laboratory processing: time at start of plasma aliquoting (repeat draw, 24-hour time) (calc)",0.0
V00URINOB1,EV:Urine collection: specimen obtained (first collection) (calc),0.0
V00URINOB2,EV:Urine collection: specimen obtained (repeat collection) (calc),0.0
V00VOID1,EV:Urine collection: which void(s) collected (first collection) (calc),0.0
V00VOID2,EV:Urine collection: which void(s) collected (repeat collection) (calc),0.0
V00ILLPWK1,"EV:Phlebotomy: had illness in past week requiring antibiotics, hospitalization or steroids (first draw) (calc)",1.0
V00ILLPWK2,"EV:Phlebotomy: had illness in past week requiring antibiotics, hospitalization or steroids (repeat draw) (calc)",1.0
V00HOURSP1,EV:Phlebotomy: how many hours passed since last ate any food before blood draw (first draw) (calc),0.0
V00HOURSP2,EV:Phlebotomy: how many hours passed since last ate any food before blood draw (repeat draw) (calc),0.0
V00QOVP1,EV:Phlebotomy: quality of venipuncture (first draw) (calc),0.0
V00QOVP2,EV:Phlebotomy: quality of venipuncture (repeat draw) (calc),0.0
V00VCOLL1,"EV:Phlebotomy: traumatic venipuncture, vein collapse (first draw) (calc)",0.0
V00VCOLL2,"EV:Phlebotomy: traumatic venipuncture, vein collapse (repeat draw) (calc)",0.0
