Feature,FeatureRenamed,Definition,InFinalCatBoost,Source Feature(s),Source Feature(s) Definition,Dataset,AttributeOf,Type,Formula
KNEE_V00XRKL,KLGrade,Kellgren and Lawrence (grades 0-4),1,V00XRKL,BL/FU kXR reading (BU): Kellgren and Lawrence (grades 0-4),kXR_SQ_BU00,Knee,Original,
KNEE_V00XRJSM,BUkXRReading,Joint space narrowing (OARSI grades 0-3) medial compartment,1,V00XRJSM,BL/FU kXR reading (BU): joint space narrowing (OARSI grades 0-3) medial compartment,kXR_SQ_BU00,Knee,Original,
KNEE_P01LXRKOA2,Osteophytes&JSN,Knee baseline x-ray: osteophytes and JSN,1,"P01LXRKOA2, P01RXRKOA",SV:Left (Right) knee baseline x-ray: osteophytes and JSN (calc),SubjectChar00,Knee,Derived (knee-matching),"P01LXRKOA2 if SIDE=""LEFT"" else P01RXRKOA"
KNEE_P01OAGRDL,CompositeOAGrade,Knee baseline x-ray: composite OA grade ,1,"P01OAGRDL, P01OAGRDR",SV:Left (Right) knee baseline x-ray: composite OA grade (calc),SubjectChar00,Knee,Derived (knee-matching),"P01OAGRDL if SIDE=""LEFT"" else P01OAGRDR"
KNEE_V00LKRFXPN,FlexionPain,Knee flexion pain/tenderness present on exam,1,"V00LKRFXPN, V00RKRFXPN",EV:Left (Right) knee exam: knee flexion pain/tenderness present on exam,PhysExam00,Knee,Derived (knee-matching),"V00LKRFXPN if SIDE=""LEFT"" else V00RKRFXPN"
P02RACE_IsBlack,RaceIsBlack,Self-reported race as Black or African American,1,P02RACE,"IEI:Racial background, self-reported (calc)",Enrollees,Person,Derived (calculation),"1 if P02RACE==""2: Black or African American"" else 0"
V00KQOL1,AwarenessKneeProblems,How often aware of problems with knee(s),1,V00KQOL1,EV:Q24.Quality of life: how often aware of problems with knee(s),JointSx00,Person,Original,
P01KPMED,UsedPainMedsL12M,"Either knee, used medication for pain, aching or stiffness, past 12 months",1,P01KPMED,"SV:Q21.Either knee, used medication for pain, aching or stiffness, past 12 months",MedHist00,Person,Original,
V00AGE,Age,Age,1,V00AGE,"EV:Age (calc, used for study eligibility)",SubjectChar00,Person,Original,
KNEE_V00KSXLKN3,KneeCatchHangUpL7D,"Knee catch or hang up when moving, last 7 days",1,"V00KSXLKN3, V00KSXRKN3","EV:Q19.Left (Right) knee symptoms: knee catch or hang up when moving, last 7 days",JointSx00,Knee,Derived (knee-matching),"V00KSXLKN3 if SIDE=""LEFT"" else V00KSXRKN3"
P01OADEGCV,DoctorDiagnosedOA,Doctor said you had osteoarthritis/degenerative arthritis in knee,1,P01OADEGCV,SV:Q10a.Doctor said you had osteoarthritis/degenerative arthritis in knee (calc),MedHist00,Person,Original,
OTHERKNEE_V00XRKL,OtherKnee_KLGrade,Kellgren and Lawrence (grades 0-4) of the other knee,1,V00XRKL,BL/FU kXR reading (BU): Kellgren and Lawrence (grades 0-4),kXR_SQ_BU00,Other Knee,Derived (knee-matching),V00XRKL of the same patient's other knee
V00RX30,BroughtPrescriptionMedsL30D,"Bring in or identify all prescription medications taken, past 30 days",1,V00RX30,"EV:Q49.MIF: bring in or identify all prescription medications taken, past 30 days",MedHist00,Person,Original,
